full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max
13826-576,13826,576,48,0.143,White,0.042,0.000,0.479,0.271,0.021,0.021,0.000,0.042,0.688,2,45.500,7.778,45.5,40,51,NA,NA,NA,NA,NA,NA,23,51.783,26.397,50.0,12,100,13,59.692,26.908,76.0,20,90,1,41.000,NA,41.0,41,41,1,42.000,NA,42.0,42,42,NA,NA,NA, NA ,NA,NA,2,25.000,21.213,25.0,10,40,33,66.909,18.141,68.0,27,100,25.583,3.875,25.0,48,18,37,0.000,5.063,1.019,5.0,48.000,3,7,5.792,0.849,6.0,48,4,7
13826-1250,13826,1250,54,0.000,Multiple,0.185,0.000,0.370,0.296,0.019,0.056,0.019,0.222,0.111,10,52.800,17.813,50.0,30,91,NA,NA,NA,NA,NA,NA,20,69.250,22.407,71.5,21,100,16,70.313,17.977,74.0,35,100,1,82.000,NA,82.0,82,82,3,50.667,11.015,50.0,40,62,1,41.000,NA, 41.0 ,41,41,12,61.500,21.475,59.0,29,100,6,49.833,14.483,50.0,30,69,26.333,3.995,26.0,54,19,36,0.000,4.537,1.563,5.0,54.000,1,7,5.815,0.803,6.0,54,4,7
14792-288,14792,288,50,0.267,White,0.100,0.000,0.040,0.040,0.020,0.000,0.000,0.000,0.960,5,44.400,25.066,50.0,5,73,NA,NA,NA,NA,NA,NA,2,32.500,3.536,32.5,30,35,2,15.500,20.506,15.5,1,30,1,98.000,NA,98.0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,48,84.375,17.500,90.0,35,100,35.600,6.839,35.5,50,20,56,0.020,4.220,1.282,4.0,50.000,1,7,4.880,0.872,5.0,50,3,7
14792-533,14792,533,53,0.067,Black,0.943,0.000,0.019,0.019,0.000,0.000,0.000,0.094,0.019,50,88.400,14.732,93.0,33,100,NA,NA,NA,NA,NA,NA,1,95.000,NA,95.0,95,95,1,33.000,NA,33.0,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,5,46.600,34.689,33.0,18,99,1,10.000,NA,10.0,10,10,37.057,6.353,36.0,53,26,55,0.000,4.264,1.483,4.0,53.000,1,7,4.755,1.125,5.0,53,2,7
14792-3566,14792,3566,54,0.267,Multiple,0.389,0.000,0.481,0.148,0.037,0.093,0.000,0.019,0.130,21,66.429,17.770,70.0,33,100,NA,NA,NA,NA,NA,NA,26,75.192,17.675,75.0,10,100,8,61.750,18.911,58.0,30,89,2,36.000,5.657,36.0,32,40,5,53.400,29.804,65.0,20,87,NA,NA,NA, NA ,NA,NA,1,37.000,NA,37.0,37,37,7,32.286,19.763,40.0,3,55,34.481,4.546,35.0,54,25,42,0.000,4.389,1.220,4.5,54.000,1,7,5.000,1.082,5.0,54,2,7
14792-3908,14792,3908,51,0.143,Hispanic,0.098,0.020,0.686,0.216,0.039,0.059,0.000,0.020,0.196,5,50.600,25.235,50.0,20,90,1,60.000,NA,60.0,60,60,35,73.571,20.718,80.0,27,100,11,60.636,20.076,59.0,31,91,2,46.000,4.243,46.0,43,49,3,42.667,11.676,45.0,30,53,NA,NA,NA, NA ,NA,NA,1,55.000,NA,55.0,55,55,10,37.100,20.979,37.0,10,80,34.667,4.511,35.0,51,27,46,0.020,3.824,1.126,4.0,51.000,1,7,4.353,1.055,4.0,51,2,6
14792-3928,14792,3928,53,0.063,White,0.057,0.000,0.358,0.113,0.000,0.057,0.000,0.038,0.660,3,29.000,18.520,22.0,15,50,NA,NA,NA,NA,NA,NA,19,60.947,21.262,66.0,21,89,6,48.333,24.549,47.0,17,88,NA,NA,NA,NA,NA,NA,3,50.000,23.516,51.0,26,73,NA,NA,NA, NA ,NA,NA,2,38.500,40.305,38.5,10,67,35,66.771,21.324,70.0,22,100,33.302,5.202,32.0,53,23,45,0.000,4.000,1.373,4.0,53.000,1,7,4.623,1.130,5.0,53,2,7
15761-711,15761,711,51,0.000,Multiple,0.078,0.000,0.431,0.314,0.059,0.059,0.059,0.039,0.275,4,51.000,7.348,49.0,45,61,NA,NA,NA,NA,NA,NA,22,68.636,15.795,70.0,35,92,16,64.250,18.852,67.0,30,90,3,55.333,15.011,56.0,40,70,3,65.000,9.539,70.0,54,71,3,49.333,11.504, 49.0 ,38,61,2,50.500,7.778,50.5,45,56,14,56.643,25.358,49.0,29,100,33.725,5.177,34.0,51,23,45,0.000,4.941,1.363,5.0,51.000,2,7,5.373,1.058,5.0,51,3,7
15761-1119,15761,1119,51,0.071,Multiple,0.216,0.000,0.490,0.412,0.000,0.020,0.000,0.059,0.255,11,50.455,24.885,50.0,10,92,NA,NA,NA,NA,NA,NA,25,64.600,20.934,67.0,17,100,21,64.762,21.000,72.0,27,100,NA,NA,NA,NA,NA,NA,1,20.000,NA,20.0,20,20,NA,NA,NA, NA ,NA,NA,3,40.333,10.504,40.0,30,51,13,52.769,18.952,50.0,20,100,30.392,4.248,30.0,51,22,40,0.000,4.902,1.460,5.0,51.000,1,7,5.412,0.920,6.0,51,3,7
15761-2393,15761,2393,52,0.200,Multiple,0.077,0.000,0.404,0.423,0.077,0.038,0.000,0.231,0.096,4,57.000,14.071,55.5,42,75,NA,NA,NA,NA,NA,NA,21,67.905,16.784,64.0,30,100,22,66.227,16.878,69.5,39,100,4,52.000,24.993,48.5,29,82,2,58.500,4.950,58.5,55,62,NA,NA,NA, NA ,NA,NA,12,68.500,20.607,71.5,22,95,5,42.000,21.679,40.0,10,70,31.308,4.359,30.5,52,23,40,0.000,4.500,1.502,5.0,52.000,1,7,5.635,1.030,6.0,52,3,7
15761-2491,15761,2491,52,0.143,Black,0.519,0.000,0.346,0.077,0.019,0.173,0.058,0.173,0.173,27,58.778,21.317,55.0,21,97,NA,NA,NA,NA,NA,NA,18,66.167,18.434,72.0,29,95,4,49.500,10.630,50.0,37,61,1,52.000,NA,52.0,52,52,9,44.667,19.170,50.0,12,80,3,25.667,16.166, 35.0 ,7,35,9,61.333,18.187,65.0,30,83,9,30.889,13.224,29.0,10,50,34.981,5.952,35.0,52,25,50,0.000,4.808,1.299,5.0,52.000,1,7,5.654,0.683,6.0,52,4,7
15761-3345,15761,3345,53,0.235,White,0.057,0.019,0.396,0.264,0.019,0.019,0.000,0.057,0.585,3,33.000,7.550,34.0,25,40,1,14.000,NA,14.0,14,14,21,63.238,18.889,67.0,21,91,14,56.286,21.808,58.0,17,96,1,37.000,NA,37.0,37,37,1,58.000,NA,58.0,58,58,NA,NA,NA, NA ,NA,NA,3,43.333,11.547,50.0,30,50,31,64.452,22.068,68.0,9,93,28.528,5.139,28.0,53,17,40,0.019,4.660,1.073,5.0,53.000,1,7,5.340,0.919,5.0,53,4,7
15761-3389,15761,3389,51,0.200,White,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,1.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,92.000,NA,92.0,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,51,94.961,7.930,100.0,66,100,32.020,5.058,32.0,51,19,45,0.000,4.647,1.110,5.0,51.000,3,7,5.647,0.844,6.0,51,3,7
15761-3566,15761,3566,53,0.063,Hispanic,0.170,0.000,0.585,0.189,0.019,0.094,0.019,0.019,0.302,9,58.778,18.919,50.0,35,88,NA,NA,NA,NA,NA,NA,31,70.968,18.969,73.0,40,100,10,55.400,20.370,58.0,25,100,1,50.000,NA,50.0,50,50,5,77.600,9.209,81.0,65,86,1,92.000,NA, 92.0 ,92,92,1,40.000,NA,40.0,40,40,16,55.500,16.629,57.5,30,92,29.151,4.383,29.0,53,20,44,0.000,5.509,1.265,6.0,53.000,2,7,5.868,0.941,6.0,53,2,7
15761-3661,15761,3661,54,0.000,Hispanic,0.148,0.000,0.574,0.296,0.000,0.074,0.000,0.148,0.093,8,58.750,20.631,60.5,20,87,NA,NA,NA,NA,NA,NA,31,72.806,17.536,75.0,33,100,16,61.625,25.479,62.5,0,100,NA,NA,NA,NA,NA,NA,4,39.500,32.005,36.5,10,75,NA,NA,NA, NA ,NA,NA,8,64.375,24.029,61.0,25,98,5,42.000,13.038,50.0,20,50,33.204,5.052,34.0,54,20,45,0.019,5.278,1.220,5.0,54.000,3,7,5.667,1.064,6.0,54,3,7
15761-3876,15761,3876,55,0.118,Black,0.764,0.000,0.164,0.091,0.000,0.036,0.000,0.036,0.145,42,79.333,20.314,80.5,15,100,NA,NA,NA,NA,NA,NA,9,67.000,28.901,68.0,10,100,5,48.200,24.733,45.0,21,80,NA,NA,NA,NA,NA,NA,2,55.000,7.071,55.0,50,60,NA,NA,NA, NA ,NA,NA,2,58.000,28.284,58.0,38,78,8,28.875,10.789,25.0,17,50,31.873,4.781,32.0,55,24,46,0.000,5.018,1.650,5.0,55.000,1,7,5.764,1.122,6.0,55,2,7
15761-3928,15761,3928,53,0.250,White,0.000,0.000,0.094,0.057,0.038,0.019,0.000,0.000,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,52.000,18.480,51.0,23,70,3,47.333,23.587,45.0,25,72,2,56.000,33.941,56.0,32,80,1,60.000,NA,60.0,60,60,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,47,88.638,11.280,90.0,55,100,29.887,4.237,30.0,53,20,41,0.000,4.491,1.527,5.0,53.000,1,7,5.453,0.932,6.0,53,3,7
16252-38,16252,38,51,0.133,Multiple,0.020,0.078,0.235,0.000,0.137,0.314,0.373,0.098,0.078,1,40.000,NA,40.0,40,40,4,69.000,19.613,62.5,54,97,12,68.750,15.196,66.5,44,95,NA,NA,NA,NA,NA,NA,7,66.286,10.356,66.0,50,82,16,76.125,21.484,81.0,18,99,19,61.000,21.914, 65.0 ,12,100,5,54.000,18.014,45.0,38,75,4,77.000,16.872,74.0,60,100,28.118,4.848,27.0,51,18,40,1.000,5.137,1.312,5.0,51.000,1,7,5.686,0.787,6.0,51,4,7
16252-44,16252,44,54,0.167,White,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,1.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17.000,2.828,17.0,15,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,54,94.833,7.210,99.0,75,100,25.926,3.942,25.5,54,19,35,1.000,5.333,1.082,5.0,54.000,3,7,5.593,0.836,6.0,54,4,7
16252-47,16252,47,52,0.063,White,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,52,96.827,5.561,100.0,77,100,27.404,4.836,26.5,52,16,36,1.000,5.692,0.875,6.0,52.000,3,7,5.769,0.942,6.0,52,3,7
16252-2157,16252,2157,51,0.063,Multiple,0.431,0.000,0.059,0.059,0.118,0.157,0.059,0.431,0.000,22,73.864,22.875,77.5,20,100,NA,NA,NA,NA,NA,NA,3,44.667,25.403,30.0,30,74,3,60.000,8.888,63.0,50,67,6,44.833,24.555,46.5,11,85,8,53.500,13.223,51.0,33,75,3,66.667,15.275, 70.0 ,50,80,22,75.455,20.234,80.0,34,100,NA,NA,NA,NA,NA,NA,28.078,4.804,28.0,51,18,40,1.000,4.843,1.007,5.0,51.000,2,7,5.373,1.216,5.0,51,2,7
16252-3876,16252,3876,55,0.000,Black,0.600,0.000,0.055,0.055,0.091,0.200,0.036,0.236,0.036,33,69.000,27.383,75.0,6,100,NA,NA,NA,NA,NA,NA,3,77.333,28.361,89.0,45,98,3,51.333,2.309,50.0,50,54,5,45.400,18.555,49.0,19,64,11,66.818,17.736,71.0,30,92,2,38.000,9.899, 38.0 ,31,45,13,75.692,18.181,81.0,46,100,2,32.500,3.536,32.5,30,35,29.800,4.889,29.0,55,20,46,1.000,5.345,1.075,5.0,55.000,3,7,5.382,0.991,5.0,55,3,7
16252-752945,16252,752945,52,0.067,Hispanic,0.000,0.000,0.519,0.135,0.058,0.058,0.000,0.096,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,69.296,20.608,73.0,23,98,7,64.714,15.955,61.0,40,90,3,41.000,21.517,40.0,20,63,3,51.333,27.301,64.0,20,70,NA,NA,NA, NA ,NA,NA,5,40.000,16.598,39.0,14,55,24,76.167,23.770,84.5,20,100,30.731,5.119,30.0,52,20,40,1.000,5.288,1.289,5.5,52.000,1,7,5.423,1.016,5.0,52,3,7
16958-533,16958,533,50,0.200,Black,0.620,0.000,0.020,0.040,0.020,0.200,0.080,0.260,0.120,31,76.000,22.465,81.0,10,100,NA,NA,NA,NA,NA,NA,1,50.000,NA,50.0,50,50,2,62.500,3.536,62.5,60,65,1,70.000,NA,70.0,70,70,10,73.400,16.959,74.0,44,98,4,47.250,31.256, 42.0 ,15,90,13,68.077,19.024,70.0,38,100,6,28.000,4.817,27.5,22,35,29.040,4.370,29.0,50,20,42,1.000,5.820,0.983,6.0,50.000,3,7,6.480,0.789,7.0,50,4,7
16958-2157,16958,2157,52,0.000,SouthAsian,0.135,0.000,0.058,0.231,0.058,0.135,0.038,0.538,0.038,7,52.714,28.447,60.0,10,89,NA,NA,NA,NA,NA,NA,3,60.333,31.943,73.0,24,84,12,67.333,23.685,74.5,30,100,3,62.667,32.884,50.0,38,100,7,62.714,13.635,60.0,51,88,2,63.000,4.243, 63.0 ,60,66,28,78.750,15.197,78.5,47,100,2,71.000,33.941,71.0,47,95,27.942,4.578,27.0,52,18,38,0.981,5.673,0.985,6.0,52.000,3,7,6.442,0.777,7.0,52,3,7
16958-3928,16958,3928,55,0.176,White,0.000,0.000,0.091,0.000,0.018,0.000,0.000,0.000,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,40.200,27.905,34.0,15,83,NA,NA,NA,NA,NA,NA,1,28.000,NA,28.0,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,53,91.019,10.330,93.0,60,100,24.727,2.718,25.0,55,15,30,0.982,5.964,1.036,6.0,55.000,1,7,6.491,0.605,7.0,55,5,7
16958-752945,16958,752945,54,0.125,White,0.000,0.000,0.389,0.074,0.037,0.037,0.000,0.037,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,66.476,18.452,70.0,24,90,4,54.000,28.083,60.5,15,80,2,59.500,13.435,59.5,50,69,2,52.000,9.899,52.0,45,59,NA,NA,NA, NA ,NA,NA,2,75.000,0.000,75.0,75,75,35,73.743,22.136,79.0,23,100,28.130,3.832,28.0,54,20,38,1.000,5.741,0.935,6.0,54.000,3,7,6.278,0.712,6.0,54,4,7
17235-147,17235,147,53,0.059,Multiple,0.113,0.038,0.302,0.038,0.208,0.226,0.245,0.094,0.113,6,57.000,20.425,59.0,30,85,2,50.000,4.243,50.0,47,53,16,74.000,19.775,71.0,38,100,2,55.500,34.648,55.5,31,80,11,71.455,15.902,70.0,45,100,12,60.000,22.559,62.5,22,90,13,77.154,13.729, 80.0 ,50,100,5,64.400,22.832,67.0,30,93,6,51.500,28.240,46.5,18,100,36.170,5.232,36.0,53,20,47,1.000,4.943,1.099,5.0,53.000,2,7,5.868,0.962,6.0,53,4,7
17235-3820,17235,3820,53,0.188,White,0.019,0.226,0.208,0.000,0.057,0.075,0.038,0.019,0.774,1,72.000,NA,72.0,72,72,12,48.500,24.344,60.0,10,82,11,57.909,25.975,56.0,18,92,NA,NA,NA,NA,NA,NA,3,26.333,15.177,29.0,10,40,4,62.000,18.833,61.0,40,86,2,44.500,21.920, 44.5 ,29,60,1,77.000,NA,77.0,77,77,41,70.439,24.884,75.0,0,100,35.340,5.657,35.0,53,20,50,1.000,4.906,1.097,5.0,53.000,3,7,5.642,0.942,6.0,53,4,7
17235-3876,17235,3876,53,0.063,Black,0.623,0.038,0.151,0.038,0.094,0.094,0.151,0.113,0.113,33,70.758,22.601,79.0,24,100,2,19.500,0.707,19.5,19,20,8,47.125,12.889,50.0,27,62,2,33.500,20.506,33.5,19,48,5,67.200,29.167,77.0,25,100,5,55.800,23.124,69.0,19,74,8,55.500,14.482, 57.0 ,30,73,6,56.667,31.557,53.0,26,100,6,40.667,21.106,45.0,15,63,35.698,5.760,35.0,53,24,55,0.981,4.868,1.194,5.0,53.000,2,7,5.698,0.845,6.0,53,3,7
17235-4022,17235,4022,55,0.250,Multiple,0.218,0.000,0.309,0.273,0.073,0.127,0.091,0.327,0.036,12,51.667,27.164,50.0,10,100,NA,NA,NA,NA,NA,NA,17,74.000,22.285,72.0,23,100,15,62.533,24.337,66.0,12,100,4,47.250,22.381,52.0,16,69,7,65.714,22.845,70.0,27,87,5,59.400,15.742, 49.0 ,48,82,18,60.500,16.923,57.0,35,96,2,40.000,14.142,40.0,30,50,33.982,5.492,35.0,55,24,50,1.000,5.273,1.193,5.0,55.000,1,7,6.109,0.916,6.0,55,3,7
17284-27,17284,27,53,0.000,White,0.000,0.000,0.000,0.019,0.000,0.019,0.000,0.000,1.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20.000,NA,20.0,20,20,NA,NA,NA,NA,NA,NA,1,80.000,NA,80.0,80,80,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,53,90.434,14.019,95.0,20,100,32.811,5.133,32.0,53,20,45,0.981,5.491,0.953,6.0,53.000,4,7,4.396,1.149,4.0,53,1,7
17284-28,17284,28,51,0.133,Multiple,0.020,0.000,0.431,0.176,0.078,0.157,0.000,0.235,0.216,1,51.000,NA,51.0,51,51,NA,NA,NA,NA,NA,NA,22,65.591,25.247,72.0,9,100,9,56.000,27.523,53.0,20,100,4,53.000,7.528,53.5,44,61,8,51.750,21.117,55.0,16,77,NA,NA,NA, NA ,NA,NA,12,61.583,21.258,67.5,20,84,11,50.727,17.089,49.0,28,80,31.118,4.117,30.0,51,24,40,1.000,5.647,1.055,6.0,51.000,4,7,4.255,0.868,4.0,51,2,6
17284-464,17284,464,52,0.067,Multiple,0.077,0.038,0.365,0.192,0.115,0.192,0.115,0.115,0.288,4,46.250,27.645,44.5,18,78,2,56.000,22.627,56.0,40,72,19,65.789,32.222,70.0,19,100,10,60.700,28.841,53.5,18,100,6,62.833,32.468,58.5,29,100,10,71.700,13.849,69.5,50,93,6,54.833,18.904, 52.5 ,33,83,6,65.000,22.235,63.0,40,100,15,58.600,21.374,60.0,20,90,30.846,4.972,30.0,52,23,45,1.000,5.500,1.196,6.0,52.000,1,7,4.596,1.159,5.0,52,2,7
17284-3112,17284,3112,53,0.059,Multiple,0.000,0.038,0.434,0.340,0.057,0.189,0.057,0.170,0.189,NA,NA,NA,NA,NA,NA,2,51.500,16.263,51.5,40,63,23,64.087,18.338,64.0,25,88,18,58.389,20.112,59.0,21,100,3,75.667,42.147,100.0,27,100,10,62.300,15.004,60.0,40,92,3,38.333,27.574, 36.0 ,12,67,9,64.889,27.881,70.0,20,100,10,54.100,27.180,49.5,25,100,31.302,4.917,31.0,53,21,44,1.000,5.660,0.876,6.0,53.000,4,7,4.415,0.908,4.0,53,2,7
17284-3876,17284,3876,54,0.294,Black,0.630,0.019,0.241,0.074,0.093,0.148,0.056,0.278,0.167,34,54.706,20.478,56.5,10,100,1,58.000,NA,58.0,58,58,13,61.231,18.700,65.0,27,81,4,65.500,14.295,66.0,50,80,5,59.600,16.846,65.0,35,78,8,57.125,27.195,55.5,20,100,3,38.333,2.887, 40.0 ,35,40,15,57.067,20.247,50.0,30,90,9,29.667,17.790,22.0,5,57,35.241,5.411,35.0,54,24,49,1.000,5.019,1.236,5.0,54.000,1,7,3.852,0.899,4.0,54,2,6
17284-752945,17284,752945,52,0.267,White,0.000,0.000,0.250,0.250,0.019,0.000,0.000,0.038,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,66.692,17.168,71.0,41,90,13,59.615,19.547,60.0,36,100,1,34.000,NA,34.0,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,2,50.000,0.000,50.0,50,50,38,77.263,18.925,81.5,26,100,33.019,5.105,32.0,52,22,47,1.000,5.096,1.361,5.0,52.000,1,7,3.962,0.969,4.0,52,2,7
17533-238,17533,238,52,0.333,White,0.019,0.000,0.019,0.019,0.019,0.000,0.019,0.000,0.962,1,10.000,NA,10.0,10,10,NA,NA,NA,NA,NA,NA,1,31.000,NA,31.0,31,31,1,26.000,NA,26.0,26,26,1,70.000,NA,70.0,70,70,NA,NA,NA,NA,NA,NA,1,32.000,NA, 32.0 ,32,32,NA,NA,NA,NA,NA,NA,50,90.680,11.401,95.5,60,100,32.750,5.534,32.0,52,18,44,0.019,3.462,1.290,4.0,52.000,1,7,2.519,0.828,3.0,52,1,4
17533-533,17533,533,56,0.235,Black,0.929,0.018,0.107,0.036,0.054,0.054,0.018,0.018,0.089,52,78.192,16.830,80.0,40,100,1,50.000,NA,50.0,50,50,6,52.000,29.278,54.5,20,100,2,18.000,19.799,18.0,4,32,3,27.000,21.656,15.0,14,52,3,50.000,26.458,60.0,20,70,1,68.000,NA, 68.0 ,68,68,1,40.000,NA,40.0,40,40,5,24.600,12.502,30.0,10,39,37.143,6.895,36.0,56,25,60,0.018,4.250,1.311,4.0,56.000,1,7,2.768,1.160,3.0,56,1,6
17533-711,17533,711,52,0.125,Multiple,0.423,0.019,0.481,0.154,0.038,0.154,0.019,0.077,0.192,22,57.773,17.725,54.5,32,100,1,15.000,NA,15.0,15,15,25,63.480,20.871,65.0,28,100,8,52.250,18.798,56.0,20,72,2,75.500,34.648,75.5,51,100,8,62.000,17.704,65.5,30,80,1,73.000,NA, 73.0 ,73,73,4,35.250,13.598,36.0,19,50,10,42.700,16.364,46.5,16,70,36.346,5.434,35.5,52,25,50,0.000,4.096,1.257,4.0,52.000,1,6,2.692,1.058,3.0,52,1,5
17533-785,17533,785,52,0.133,Black,0.981,0.000,0.000,0.058,0.000,0.058,0.000,0.077,0.000,51,89.333,12.709,94.0,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,41.000,18.248,50.0,20,53,NA,NA,NA,NA,NA,NA,3,70.333,0.577,70.0,70,71,NA,NA,NA, NA ,NA,NA,4,39.000,28.119,40.0,10,66,NA,NA,NA,NA,NA,NA,35.423,5.869,35.0,52,25,50,0.000,4.327,1.530,4.0,52.000,1,7,3.135,1.010,3.0,52,1,6
17533-3876,17533,3876,53,0.067,Black,0.849,0.019,0.057,0.057,0.038,0.019,0.038,0.019,0.151,45,76.467,19.364,78.0,25,100,1,70.000,NA,70.0,70,70,3,62.667,19.348,52.0,51,85,3,58.667,8.505,62.0,49,65,2,36.500,3.536,36.5,34,39,1,50.000,NA,50.0,50,50,2,46.500,20.506, 46.5 ,32,61,1,10.000,NA,10.0,10,10,8,32.250,22.556,21.5,8,75,36.132,6.108,35.0,53,22,52,0.000,4.453,1.309,4.0,53.000,1,7,2.962,1.300,3.0,53,1,6
17533-752417,17533,752417,56,0.375,Asian,0.000,0.357,0.429,0.018,0.071,0.071,0.232,0.036,0.232,NA,NA,NA,NA,NA,NA,20,69.900,16.078,70.5,46,100,24,69.125,21.951,73.5,19,100,1,50.000,NA,50.0,50,50,4,52.000,26.242,55.5,22,75,4,61.000,15.853,65.5,39,74,13,63.923,21.077, 72.0 ,29,91,2,62.000,18.385,62.0,49,75,13,44.846,19.356,45.0,12,76,28.821,4.473,28.0,56,21,42,0.000,4.125,1.428,4.0,56.000,1,7,3.179,1.177,3.0,56,1,6
19048-2,19048,2,54,0.235,White,0.019,0.000,0.259,0.204,0.000,0.056,0.000,0.037,0.759,1,51.000,NA,51.0,51,51,NA,NA,NA,NA,NA,NA,14,54.929,26.897,66.0,15,93,11,62.455,23.149,66.0,10,90,NA,NA,NA,NA,NA,NA,3,56.000,21.633,50.0,38,80,NA,NA,NA, NA ,NA,NA,2,50.000,0.000,50.0,50,50,41,73.927,24.706,82.0,19,100,26.870,4.872,27.0,54,2,37,0.000,5.259,1.185,5.0,54.000,1,7,5.093,0.896,5.0,54,3,7
19048-28,19048,28,52,0.067,Black,0.558,0.000,0.346,0.269,0.000,0.038,0.000,0.096,0.231,29,56.448,19.024,51.0,30,100,NA,NA,NA,NA,NA,NA,18,66.833,16.930,61.0,33,100,14,59.571,26.363,56.5,20,100,NA,NA,NA,NA,NA,NA,2,57.500,3.536,57.5,55,60,NA,NA,NA, NA ,NA,NA,5,57.200,12.235,59.0,37,70,12,41.500,14.261,47.0,18,60,29.250,3.337,29.0,52,22,35,0.000,5.154,1.109,5.0,52.000,1,7,4.788,0.936,5.0,52,3,7
19048-372,19048,372,53,0.067,Multiple,0.340,0.000,0.377,0.453,0.000,0.038,0.019,0.057,0.264,18,54.444,16.536,50.0,35,93,NA,NA,NA,NA,NA,NA,20,61.450,24.349,63.5,21,100,24,70.875,22.359,71.5,10,100,NA,NA,NA,NA,NA,NA,2,82.500,0.707,82.5,82,83,1,44.000,NA, 44.0 ,44,44,3,60.333,24.379,51.0,42,88,14,50.643,14.069,50.5,20,74,29.358,4.425,29.0,53,20,40,0.019,5.000,1.271,5.0,53.000,1,7,4.849,0.886,5.0,53,3,7
19048-533,19048,533,50,0.214,Black,0.740,0.020,0.060,0.140,0.000,0.040,0.000,0.180,0.040,37,74.486,21.134,80.0,16,100,1,19.000,NA,19.0,19,19,3,66.667,22.301,58.0,50,92,7,69.714,18.044,70.0,40,90,NA,NA,NA,NA,NA,NA,2,92.000,2.828,92.0,90,94,NA,NA,NA, NA ,NA,NA,9,55.889,23.030,50.0,27,95,2,14.500,7.778,14.5,9,20,30.420,4.807,29.0,50,21,44,0.020,4.860,1.278,5.0,50.000,2,7,4.740,0.828,5.0,50,3,7
