full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max
13119-372,13119,372,53,0.063,Multiple,0.358,0.000,0.340,0.075,0.113,0.170,0.075,0.283,0.226,19,47.947,17.967,50.0,20,80,NA,NA,NA,NA,NA,NA,18,61.278,24.372,59.0,10,100,4,63.750,23.042,63.5,36,92,6,56.667,23.381,60.0,20,80,9,58.111,10.682,56.0,42,74,4,55.000,20.412, 55.0 ,35,75,15,71.000,11.874,71.0,51,92,12,41.667,24.016,40.0,6,85,27.604,4.235,27.0,53,20,38,0.981,5.623,0.945,6.0,53.000,3,7,4.943,0.908,5.0,53,3,7
13119-533,13119,533,52,0.375,Black,0.654,0.115,0.038,0.058,0.038,0.212,0.096,0.173,0.019,34,69.647,21.892,71.5,11,100,6,53.000,23.791,50.0,15,87,2,50.000,0.000,50.0,50,50,3,68.000,15.716,65.0,54,85,2,64.000,33.941,64.0,40,88,11,55.273,19.401,53.0,24,95,5,46.400,15.372, 47.0 ,26,68,9,59.556,16.180,60.0,30,81,1,48.000,NA,48.0,48,48,27.827,4.506,27.0,52,20,40,1.000,5.750,0.926,6.0,52.000,4,7,5.173,0.901,5.0,52,3,7
13119-1003,13119,1003,53,0.250,White,0.000,0.019,0.170,0.057,0.000,0.038,0.019,0.019,0.830,NA,NA,NA,NA,NA,NA,1,20.000,NA,20.0,20,20,9,45.556,23.490,42.0,20,84,3,61.333,19.425,66.0,40,78,NA,NA,NA,NA,NA,NA,2,58.000,11.314,58.0,50,66,1,30.000,NA, 30.0 ,30,30,1,49.000,NA,49.0,49,49,44,84.886,18.893,89.5,15,100,26.679,3.474,27.0,53,20,40,1.000,6.189,0.921,6.0,53.000,3,7,5.264,1.022,5.0,53,3,7
13119-1106,13119,1106,57,0.389,Multiple,0.018,0.140,0.456,0.123,0.000,0.175,0.123,0.123,0.281,1,11.000,NA,11.0,11,11,8,38.875,19.838,44.0,10,61,26,69.885,19.253,71.0,26,100,7,58.143,16.638,64.0,30,73,NA,NA,NA,NA,NA,NA,10,72.800,16.484,71.0,36,94,7,63.429,20.719, 52.0 ,47,100,7,52.714,25.682,58.0,14,82,16,56.375,24.105,50.5,20,100,26.035,3.070,25.0,57,19,34,1.000,6.246,1.057,7.0,57.000,2,7,5.123,1.019,5.0,57,3,7
13322-162,13322,162,54,0.118,Multiple,0.019,0.204,0.315,0.019,0.296,0.426,0.278,0.074,0.111,1,50.000,NA,50.0,50,50,11,59.091,21.300,60.0,28,89,17,58.118,22.500,64.0,14,94,1,50.000,NA,50.0,50,50,16,58.563,25.166,52.0,23,98,23,62.130,23.089,70.0,7,100,15,50.600,21.487, 50.0 ,20,90,4,47.500,10.017,50.5,33,56,6,50.333,31.885,55.0,10,90,38.185,5.573,39.5,54,27,50,1.000,4.833,0.966,5.0,54.000,3,7,5.167,0.841,5.0,54,3,7
13322-1407,13322,1407,53,0.188,Multiple,0.434,0.000,0.132,0.057,0.057,0.170,0.057,0.434,0.019,23,68.043,24.046,74.0,18,100,NA,NA,NA,NA,NA,NA,7,57.000,25.652,60.0,4,88,3,67.333,6.351,71.0,60,71,3,53.333,22.189,50.0,33,77,9,46.111,16.677,50.0,20,64,3,29.667,34.933, 10.0 ,9,70,23,70.217,25.463,72.0,0,100,1,18.000,NA,18.0,18,18,39.226,6.031,39.0,53,25,53,1.000,4.208,1.246,4.0,53.000,1,6,5.377,1.042,5.0,53,2,7
13322-2531,13322,2531,50,0.143,Multiple,0.140,0.020,0.440,0.100,0.080,0.120,0.060,0.400,0.080,7,54.857,25.641,61.0,10,80,1,93.000,NA,93.0,93,93,22,68.909,24.008,64.5,8,100,5,61.200,21.684,65.0,31,86,4,45.250,20.123,44.0,22,71,6,64.500,20.811,58.5,42,91,3,49.000,7.810, 53.0 ,40,54,20,69.800,15.150,68.5,50,100,4,28.000,13.441,31.5,9,40,39.560,6.138,40.0,50,25,50,1.000,4.660,1.507,5.0,50.000,1,7,5.620,1.008,6.0,50,4,7
13322-10813,13322,10813,55,0.235,Multiple,0.000,0.073,0.473,0.127,0.073,0.073,0.000,0.018,0.527,NA,NA,NA,NA,NA,NA,4,34.000,10.985,30.5,25,50,26,67.846,19.045,69.5,30,100,7,65.286,17.318,63.0,50,100,4,60.500,20.355,70.0,30,72,4,56.250,13.769,57.5,40,70,NA,NA,NA, NA ,NA,NA,1,65.000,NA,65.0,65,65,29,65.414,23.322,60.0,20,100,36.800,5.013,35.0,55,28,54,1.000,4.800,1.297,5.0,55.000,1,7,5.345,1.004,5.0,55,2,7
13372-21,13372,21,55,0.200,White,0.055,0.000,0.127,0.091,0.018,0.000,0.000,0.000,0.927,3,44.333,10.693,50.0,32,51,NA,NA,NA,NA,NA,NA,7,51.571,15.043,59.0,30,65,5,53.800,29.886,51.0,20,88,1,35.000,NA,35.0,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,51,83.137,14.473,84.0,40,100,36.400,5.727,37.0,55,24,55,1.000,5.036,1.053,5.0,55.000,2,7,4.436,1.014,4.0,55,2,7
13372-28,13372,28,53,0.294,Hispanic,0.038,0.038,0.528,0.245,0.094,0.057,0.019,0.151,0.208,2,55.000,7.071,55.0,50,60,2,50.500,28.991,50.5,30,71,28,67.643,18.522,69.5,28,98,13,70.308,12.243,70.0,49,90,5,47.600,8.081,50.0,38,58,3,43.333,30.105,34.0,19,77,1,82.000,NA, 82.0 ,82,82,8,70.000,13.115,66.0,57,96,11,58.273,30.365,55.0,10,100,36.000,6.146,36.0,53,22,54,1.000,5.245,1.125,5.0,53.000,3,7,4.472,1.030,5.0,53,2,7
